series,author,gender,author_pos,release_year,location_pos,location_name
Band 114,Kurt Brand,male,a1,1963.0,l1,Terra
Band 114,Kurt Brand,male,a1,1963.0,l2,Saós
Band 1140,Marianne Sydow,female,a1,1983.0,l1,Solsystem
Band 1141,William Voltz,male,a1,1983.0,l1,Solsystem
Band 1142,H. G. Ewers,male,a1,1983.0,l1,M 82
Band 1143,H. G. Francis,male,a1,1983.0,l1,M 82
Band 1144,H. G. Francis,male,a1,1983.0,l1,M 82
Band 1145,H. G. Ewers,male,a1,1983.0,l1,M 82
Band 1146,Detlev G. Winter,male,a1,1983.0,l1,M 82
Band 1147,Detlev G. Winter,male,a1,1983.0,l1,M 82
Band 1148,Kurt Mahr,male,a1,1983.0,l1,BASIS-ONE
Band 1148,Kurt Mahr,male,a1,1983.0,l2,Spinnwebe
Band 1149,Marianne Sydow,female,a1,1983.0,l1,M 82
Band 115,William Voltz,male,a1,1963.0,l1,Saós
Band 115,William Voltz,male,a1,1963.0,l2,Arkon I
Band 115,William Voltz,male,a1,1963.0,l3,IRONDUKE
Band 115,William Voltz,male,a1,1963.0,l4,ZUMBASI
Band 115,William Voltz,male,a1,1963.0,l5,ein arkonidischer Robotraumer
Band 1150,Kurt Mahr,male,a1,1983.0,l1,M 82
Band 1151,H. G. Ewers,male,a1,1983.0,l1,Terra
Band 1152,Ernst Vlcek,male,a1,1983.0,l1,Pseudo-Erde
Band 1153,H. G. Ewers,male,a1,1983.0,l1,Terra im Grauen Korridor
Band 1154,Clark Darlton,male,a1,1983.0,l1,Grauer Korridor
Band 1154,Clark Darlton,male,a1,1983.0,l2,EDEN II
Band 1155,Arndt Ellmer,male,a1,1983.0,l1,Terra im Grauen Korridor
Band 1156,H. G. Francis,male,a1,1983.0,l1,M 82
Band 1157,H. G. Francis,male,a1,1983.0,l1,M 82
Band 1158,Marianne Sydow,female,a1,1983.0,l1,Förderuxen
Band 1158,Marianne Sydow,female,a1,1983.0,l2,M 82
Band 1159,Kurt Mahr,male,a1,1983.0,l1,Aitheran
Band 1159,Kurt Mahr,male,a1,1983.0,l2,M 82
Band 116,K. H. Scheer,male,a1,1963.0,l1,Saós
